time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,city,split
2010-12-05,21.7,0.0,65,Hyderabad,train
2016-03-30,29.1,0.0,49,Patna,train
2018-12-02,19.9,0.0,64,Patna,train
2008-07-22,29.0,4.3,84,Ludhiana,train
2009-12-27,22.6,0.0,57,Hyderabad,train
2021-05-21,26.1,2.3,76,Delhi,train
2012-12-24,11.6,0.0,80,Ludhiana,train
2011-09-29,27.7,0.8,82,Patna,train
2006-02-21,26.0,0.0,42,Ahmedabad,train
2019-11-05,27.3,0.1,86,Mumbai,train
2015-01-25,17.3,9.5,88,Bhopal,train
2005-06-27,28.9,38.1,82,Delhi,train
2011-01-02,13.8,0.0,56,Bhopal,train
2006-11-09,26.1,0.0,47,Ahmedabad,train
2008-10-25,24.8,0.0,42,Bhopal,train
2004-05-08,27.5,0.3,71,Hyderabad,train
2005-01-22,23.8,0.0,65,Hyderabad,train
2019-08-03,25.7,91.9,92,Mumbai,train
2021-05-15,35.2,0.0,35,Ahmedabad,train
2013-07-08,25.6,6.9,87,Bhopal,train
2009-03-08,25.4,0.0,41,Ahmedabad,train
2010-09-26,27.3,8.5,87,Chennai,train
2008-08-24,25.7,9.6,84,Bhopal,train
2018-02-12,26.0,0.4,69,Chennai,train
2009-01-26,24.3,0.0,52,Hyderabad,train
2015-05-24,30.6,0.0,70,Mumbai,train
2012-10-31,22.5,0.0,69,Patna,train
2021-02-13,19.7,0.0,72,Patna,train
2022-06-17,28.1,0.5,80,Chennai,train
2023-03-31,19.6,9.4,83,Delhi,train
2007-08-15,28.0,1.5,78,Ahmedabad,train
2009-01-16,24.3,0.0,59,Ahmedabad,train
2021-08-23,27.0,1.7,85,Nagpur,train
2017-08-02,29.7,0.9,77,Chennai,train
2019-11-18,22.2,0.0,68,Patna,train
2005-10-31,22.0,0.0,42,Bhopal,train
2004-07-02,34.5,0.0,50,Ludhiana,train
2014-10-26,27.1,0.2,63,Mumbai,train
2006-06-22,34.0,0.0,34,Bhopal,train
2004-04-24,29.4,1.4,58,Hyderabad,train
2007-01-13,10.8,0.0,63,Ludhiana,train
2022-09-27,28.7,3.8,77,Chennai,train
2017-07-18,30.5,9.9,80,Patna,train
2006-12-13,21.4,0.0,73,Bengaluru,train
2015-02-19,21.4,0.0,76,Patna,train
2016-06-15,30.2,16.6,73,Ludhiana,train
2007-05-16,35.6,0.0,26,Nagpur,train
2018-01-04,19.2,0.0,52,Ahmedabad,train
2005-11-04,25.7,9.5,88,Chennai,train
2013-01-09,15.0,0.0,47,Bhopal,train
2019-11-09,23.6,0.0,69,Bhopal,train
2013-05-11,32.7,0.0,58,Patna,train
2006-09-21,22.3,0.7,79,Bengaluru,train
2004-01-02,21.3,0.0,65,Bengaluru,train
2019-03-15,15.5,0.0,76,Ludhiana,train
2018-04-01,31.1,0.5,36,Nagpur,train
2023-06-19,30.4,0.6,54,Bhopal,train
2013-11-03,28.2,0.0,66,Mumbai,train
2017-04-04,26.9,0.4,40,Ludhiana,train
2023-05-05,26.9,4.6,69,Nagpur,train
2006-11-26,24.5,0.0,67,Hyderabad,train
2020-08-11,28.6,22.3,90,Ludhiana,train
2012-02-03,20.3,0.0,43,Nagpur,train
2011-11-26,24.1,0.0,66,Hyderabad,train
2004-05-10,29.8,5.3,75,Mumbai,train
2019-11-13,27.1,0.0,61,Ahmedabad,train
2024-08-01,28.2,34.7,85,Delhi,train
2022-05-19,30.0,0.9,72,Chennai,train
2021-11-15,20.4,0.0,58,Bhopal,train
2014-06-09,38.6,0.0,24,Nagpur,train
2005-06-12,32.8,0.0,54,Chennai,train
2019-06-21,28.2,1.3,86,Mumbai,train
2008-10-06,25.6,5.1,81,Hyderabad,train
2009-10-08,28.0,0.0,66,Ahmedabad,train
2011-11-05,24.9,0.0,43,Bhopal,train
2011-07-11,27.2,0.0,64,Hyderabad,train
2007-02-17,23.1,0.0,46,Ahmedabad,train
2008-01-07,21.1,0.0,57,Bhopal,train
2018-05-11,31.1,0.1,44,Hyderabad,train
2021-01-16,10.3,0.0,86,Delhi,train
2020-02-08,12.4,0.0,75,Delhi,train
2024-02-27,26.7,0.0,38,Ahmedabad,train
2005-09-25,22.9,0.0,73,Bengaluru,train
2023-08-30,27.0,0.4,77,Nagpur,train
2013-11-29,18.6,0.0,54,Delhi,train
2005-07-31,30.4,0.0,56,Chennai,train
2009-02-05,26.8,0.0,50,Nagpur,train
2024-05-15,34.2,0.0,19,Delhi,train
2017-03-08,22.7,0.0,52,Patna,train
2013-11-20,18.6,0.0,70,Patna,train
2013-11-20,20.7,0.0,51,Nagpur,train
2004-11-23,22.9,0.0,46,Hyderabad,train
2006-12-20,15.3,0.0,78,Ludhiana,train
2018-01-22,20.2,0.0,49,Nagpur,train
2018-09-09,27.8,9.5,87,Ludhiana,train
2007-01-31,19.1,0.0,71,Delhi,train
2006-06-21,31.2,1.4,69,Patna,train
2020-05-10,32.4,0.2,41,Nagpur,train
2006-11-22,21.2,0.0,79,Bengaluru,train
2006-01-19,21.1,0.0,44,Bhopal,train
2024-04-18,31.0,0.0,29,Bhopal,train
2011-02-03,24.9,0.0,68,Chennai,train
2018-04-02,28.6,0.7,79,Chennai,train
2020-02-03,22.7,0.0,81,Mumbai,train
2013-11-03,23.6,0.6,83,Patna,train
2015-12-16,25.7,0.0,54,Hyderabad,train
2005-07-14,26.4,19.5,92,Patna,train
2024-01-07,25.4,20.3,83,Chennai,train
2005-08-29,27.1,0.4,84,Mumbai,train
2006-07-11,23.2,0.3,73,Bengaluru,train
2016-06-03,30.8,0.6,74,Chennai,train
2014-10-18,21.0,3.5,90,Bengaluru,train
2021-01-26,15.1,0.0,73,Bhopal,train
2004-10-06,27.6,5.7,82,Ahmedabad,train
2017-01-11,21.5,0.0,50,Hyderabad,train
2016-07-13,26.1,0.1,74,Hyderabad,train
2013-10-19,24.9,0.0,72,Nagpur,train
2012-03-14,21.9,0.0,30,Bhopal,train
2011-03-06,28.2,0.0,35,Hyderabad,train
2005-03-20,28.9,0.0,48,Patna,train
2021-02-21,20.6,0.0,40,Bhopal,train
